,rank,artist,name,value,date,country,country_code,lastValue,year
2127,8,Ed Sheeran,Shape of You,2928977,2017-08-05,global,global,3006373.0,2017.5916666666667
2128,9,Charlie Puth,Attention,2879375,2017-08-05,global,global,2995671.0,2017.5916666666667
2129,10,Liam Payne,Strip That Down,2749059,2017-08-05,global,global,2807172.0,2017.5916666666667
2130,1,J Balvin,Mi Gente,4210188,2017-08-06,global,global,4858552.0,2017.594406392694
2131,2,Luis Fonsi,Despacito - Remix,3777126,2017-08-06,global,global,4347440.0,2017.594406392694
2132,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3253769,2017-08-06,global,global,3826766.0,2017.594406392694
2133,4,French Montana,Unforgettable,3076735,2017-08-06,global,global,3509815.0,2017.594406392694
2134,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2945258,2017-08-06,global,global,3407847.0,2017.594406392694
2135,6,David Guetta,2U (feat. Justin Bieber),2760305,2017-08-06,global,global,3174766.0,2017.594406392694
2136,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2694139,2017-08-06,global,global,3066509.0,2017.594406392694
2137,8,Ed Sheeran,Shape of You,2582922,2017-08-06,global,global,2928977.0,2017.594406392694
2138,9,Charlie Puth,Attention,2570397,2017-08-06,global,global,2879375.0,2017.594406392694
2139,10,Liam Payne,Strip That Down,2442765,2017-08-06,global,global,2749059.0,2017.594406392694
2140,1,J Balvin,Mi Gente,4445212,2017-08-07,global,global,4210188.0,2017.5971461187214
2141,2,Luis Fonsi,Despacito - Remix,3823231,2017-08-07,global,global,3777126.0,2017.5971461187214
2142,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3467482,2017-08-07,global,global,3253769.0,2017.5971461187214
2143,4,French Montana,Unforgettable,3284996,2017-08-07,global,global,3076735.0,2017.5971461187214
2144,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3214401,2017-08-07,global,global,2945258.0,2017.5971461187214
2145,6,David Guetta,2U (feat. Justin Bieber),2988218,2017-08-07,global,global,2760305.0,2017.5971461187214
2146,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2839872,2017-08-07,global,global,2694139.0,2017.5971461187214
2147,8,Charlie Puth,Attention,2805018,2017-08-07,global,global,2570397.0,2017.5971461187214
2148,9,Ed Sheeran,Shape of You,2735510,2017-08-07,global,global,2582922.0,2017.5971461187214
2149,10,Liam Payne,Strip That Down,2656095,2017-08-07,global,global,2442765.0,2017.5971461187214
2150,1,J Balvin,Mi Gente,4500756,2017-08-08,global,global,4445212.0,2017.5998858447488
2151,2,Luis Fonsi,Despacito - Remix,3833557,2017-08-08,global,global,3823231.0,2017.5998858447488
2152,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3558929,2017-08-08,global,global,3467482.0,2017.5998858447488
2153,4,French Montana,Unforgettable,3327273,2017-08-08,global,global,3284996.0,2017.5998858447488
2154,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3255580,2017-08-08,global,global,3214401.0,2017.5998858447488
2155,6,David Guetta,2U (feat. Justin Bieber),3038342,2017-08-08,global,global,2988218.0,2017.5998858447488
2156,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2875248,2017-08-08,global,global,2839872.0,2017.5998858447488
2157,8,Charlie Puth,Attention,2858752,2017-08-08,global,global,2805018.0,2017.5998858447488
2158,9,Ed Sheeran,Shape of You,2754675,2017-08-08,global,global,2735510.0,2017.5998858447488
2159,10,Liam Payne,Strip That Down,2702170,2017-08-08,global,global,2656095.0,2017.5998858447488
2160,1,J Balvin,Mi Gente,4572171,2017-08-09,global,global,4500756.0,2017.6026255707764
2161,2,Luis Fonsi,Despacito - Remix,3856674,2017-08-09,global,global,3833557.0,2017.6026255707764
2162,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3594464,2017-08-09,global,global,3558929.0,2017.6026255707764
2163,4,French Montana,Unforgettable,3392074,2017-08-09,global,global,3327273.0,2017.6026255707764
2164,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3322064,2017-08-09,global,global,3255580.0,2017.6026255707764
2165,6,David Guetta,2U (feat. Justin Bieber),3054299,2017-08-09,global,global,3038342.0,2017.6026255707764
2166,7,Charlie Puth,Attention,2904755,2017-08-09,global,global,2858752.0,2017.6026255707764
2167,8,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2902122,2017-08-09,global,global,2875248.0,2017.6026255707764
2168,9,Ed Sheeran,Shape of You,2791611,2017-08-09,global,global,2754675.0,2017.6026255707764
2169,10,Liam Payne,Strip That Down,2696989,2017-08-09,global,global,2702170.0,2017.6026255707764
2170,1,J Balvin,Mi Gente,4559707,2017-08-10,global,global,4572171.0,2017.6053652968037
2171,2,Luis Fonsi,Despacito - Remix,3857441,2017-08-10,global,global,3856674.0,2017.6053652968037
2172,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3567961,2017-08-10,global,global,3594464.0,2017.6053652968037
2173,4,French Montana,Unforgettable,3422792,2017-08-10,global,global,3392074.0,2017.6053652968037
2174,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3333275,2017-08-10,global,global,3322064.0,2017.6053652968037
2175,6,David Guetta,2U (feat. Justin Bieber),3037751,2017-08-10,global,global,3054299.0,2017.6053652968037
2176,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2914105,2017-08-10,global,global,2902122.0,2017.6053652968037
2177,8,Charlie Puth,Attention,2913583,2017-08-10,global,global,2904755.0,2017.6053652968037
2178,9,Ed Sheeran,Shape of You,2808421,2017-08-10,global,global,2791611.0,2017.6053652968037
2179,10,Liam Payne,Strip That Down,2693180,2017-08-10,global,global,2696989.0,2017.6053652968037
2180,1,J Balvin,Mi Gente,4881938,2017-08-11,global,global,4559707.0,2017.608105022831
2181,2,Luis Fonsi,Despacito - Remix,4057528,2017-08-11,global,global,3857441.0,2017.608105022831
2182,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3728345,2017-08-11,global,global,3567961.0,2017.608105022831
2183,4,French Montana,Unforgettable,3509358,2017-08-11,global,global,3422792.0,2017.608105022831
2184,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3470200,2017-08-11,global,global,3333275.0,2017.608105022831
2185,6,David Guetta,2U (feat. Justin Bieber),3140892,2017-08-11,global,global,3037751.0,2017.608105022831
2186,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2990557,2017-08-11,global,global,2914105.0,2017.608105022831
2187,8,Charlie Puth,Attention,2955591,2017-08-11,global,global,2913583.0,2017.608105022831
2188,9,Ed Sheeran,Shape of You,2914016,2017-08-11,global,global,2808421.0,2017.608105022831
2189,10,Liam Payne,Strip That Down,2727082,2017-08-11,global,global,2693180.0,2017.608105022831
2190,1,J Balvin,Mi Gente,4877023,2017-08-12,global,global,4881938.0,2017.6108447488584
2191,2,Luis Fonsi,Despacito - Remix,3975819,2017-08-12,global,global,4057528.0,2017.6108447488584
2192,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3589741,2017-08-12,global,global,3728345.0,2017.6108447488584
2193,4,French Montana,Unforgettable,3369929,2017-08-12,global,global,3509358.0,2017.6108447488584
2194,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3326049,2017-08-12,global,global,3470200.0,2017.6108447488584
2195,6,David Guetta,2U (feat. Justin Bieber),2997842,2017-08-12,global,global,3140892.0,2017.6108447488584
2196,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2878531,2017-08-12,global,global,2990557.0,2017.6108447488584
2197,8,Ed Sheeran,Shape of You,2849496,2017-08-12,global,global,2914016.0,2017.6108447488584
2198,9,Charlie Puth,Attention,2802924,2017-08-12,global,global,2955591.0,2017.6108447488584
2199,10,Liam Payne,Strip That Down,2646166,2017-08-12,global,global,2727082.0,2017.6108447488584
2200,1,J Balvin,Mi Gente,4239851,2017-08-13,global,global,4877023.0,2017.6135844748858
2201,2,Luis Fonsi,Despacito - Remix,3497567,2017-08-13,global,global,3975819.0,2017.6135844748858
2202,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3118792,2017-08-13,global,global,3589741.0,2017.6135844748858
2203,4,French Montana,Unforgettable,3011712,2017-08-13,global,global,3369929.0,2017.6135844748858
2204,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2910909,2017-08-13,global,global,3326049.0,2017.6135844748858
2205,6,David Guetta,2U (feat. Justin Bieber),2631697,2017-08-13,global,global,2997842.0,2017.6135844748858
2206,7,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2552150,2017-08-13,global,global,2878531.0,2017.6135844748858
2207,8,Ed Sheeran,Shape of You,2529879,2017-08-13,global,global,2849496.0,2017.6135844748858
2208,9,Charlie Puth,Attention,2508932,2017-08-13,global,global,2802924.0,2017.6135844748858
2209,10,Liam Payne,Strip That Down,2388358,2017-08-13,global,global,2646166.0,2017.6135844748858
2210,1,J Balvin,Mi Gente,4475133,2017-08-14,global,global,4239851.0,2017.6163242009131
2211,2,Luis Fonsi,Despacito - Remix,3535411,2017-08-14,global,global,3497567.0,2017.6163242009131
2212,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3321194,2017-08-14,global,global,3118792.0,2017.6163242009131
2213,4,French Montana,Unforgettable,3265347,2017-08-14,global,global,3011712.0,2017.6163242009131
2214,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3127464,2017-08-14,global,global,2910909.0,2017.6163242009131
2215,6,David Guetta,2U (feat. Justin Bieber),2829189,2017-08-14,global,global,2631697.0,2017.6163242009131
2216,7,Charlie Puth,Attention,2698342,2017-08-14,global,global,2508932.0,2017.6163242009131
2217,8,Ed Sheeran,Shape of You,2680952,2017-08-14,global,global,2529879.0,2017.6163242009131
2218,9,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2662303,2017-08-14,global,global,2552150.0,2017.6163242009131
2219,10,Dua Lipa,New Rules,2602093,2017-08-14,global,global,2602093.0,2017.6163242009131
2220,1,J Balvin,Mi Gente,4473283,2017-08-15,global,global,4475133.0,2017.6190639269407
2221,2,Luis Fonsi,Despacito - Remix,3517662,2017-08-15,global,global,3535411.0,2017.6190639269407
2222,3,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3313011,2017-08-15,global,global,3321194.0,2017.6190639269407
2223,4,French Montana,Unforgettable,3304606,2017-08-15,global,global,3265347.0,2017.6190639269407
2224,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3141031,2017-08-15,global,global,3127464.0,2017.6190639269407
2225,6,David Guetta,2U (feat. Justin Bieber),2822198,2017-08-15,global,global,2829189.0,2017.6190639269407
2226,7,Charlie Puth,Attention,2688662,2017-08-15,global,global,2698342.0,2017.6190639269407
2227,8,Dua Lipa,New Rules,2671943,2017-08-15,global,global,2602093.0,2017.6190639269407
2228,9,Ed Sheeran,Shape of You,2665444,2017-08-15,global,global,2680952.0,2017.6190639269407
2229,10,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2629316,2017-08-15,global,global,2662303.0,2017.6190639269407
2230,1,J Balvin,Mi Gente,4501762,2017-08-16,global,global,4473283.0,2017.621803652968
2231,2,Luis Fonsi,Despacito - Remix,3524568,2017-08-16,global,global,3517662.0,2017.621803652968
2232,3,French Montana,Unforgettable,3355426,2017-08-16,global,global,3304606.0,2017.621803652968
2233,4,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3321994,2017-08-16,global,global,3313011.0,2017.621803652968
2234,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3176794,2017-08-16,global,global,3141031.0,2017.621803652968
2235,6,David Guetta,2U (feat. Justin Bieber),2822792,2017-08-16,global,global,2822198.0,2017.621803652968
2236,7,Dua Lipa,New Rules,2799047,2017-08-16,global,global,2671943.0,2017.621803652968
2237,8,Charlie Puth,Attention,2740714,2017-08-16,global,global,2688662.0,2017.621803652968
2238,9,Ed Sheeran,Shape of You,2673073,2017-08-16,global,global,2665444.0,2017.621803652968
2239,10,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2618312,2017-08-16,global,global,2629316.0,2017.621803652968
2240,1,J Balvin,Mi Gente,4553972,2017-08-17,global,global,4501762.0,2017.6245433789954
2241,2,Luis Fonsi,Despacito - Remix,3510238,2017-08-17,global,global,3524568.0,2017.6245433789954
2242,3,French Montana,Unforgettable,3369525,2017-08-17,global,global,3355426.0,2017.6245433789954
2243,4,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3311014,2017-08-17,global,global,3321994.0,2017.6245433789954
2244,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3178439,2017-08-17,global,global,3176794.0,2017.6245433789954
2245,6,Dua Lipa,New Rules,2831913,2017-08-17,global,global,2799047.0,2017.6245433789954
2246,7,David Guetta,2U (feat. Justin Bieber),2821474,2017-08-17,global,global,2822792.0,2017.6245433789954
2247,8,Charlie Puth,Attention,2740039,2017-08-17,global,global,2740714.0,2017.6245433789954
2248,9,Ed Sheeran,Shape of You,2681053,2017-08-17,global,global,2673073.0,2017.6245433789954
2249,10,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2607485,2017-08-17,global,global,2618312.0,2017.6245433789954
2250,1,J Balvin,Mi Gente,4834711,2017-08-18,global,global,4553972.0,2017.6272831050228
2251,2,Justin Bieber,Friends (with BloodPop®),4053188,2017-08-18,global,global,4053188.0,2017.6272831050228
2252,3,Luis Fonsi,Despacito - Remix,3694122,2017-08-18,global,global,3510238.0,2017.6272831050228
2253,4,French Montana,Unforgettable,3462954,2017-08-18,global,global,3369525.0,2017.6272831050228
2254,5,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3441513,2017-08-18,global,global,3311014.0,2017.6272831050228
2255,6,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3336176,2017-08-18,global,global,3178439.0,2017.6272831050228
2256,7,Dua Lipa,New Rules,2978790,2017-08-18,global,global,2831913.0,2017.6272831050228
2257,8,David Guetta,2U (feat. Justin Bieber),2919139,2017-08-18,global,global,2821474.0,2017.6272831050228
2258,9,Ed Sheeran,Shape of You,2809309,2017-08-18,global,global,2681053.0,2017.6272831050228
2259,10,Charlie Puth,Attention,2796428,2017-08-18,global,global,2740039.0,2017.6272831050228
2260,1,J Balvin,Mi Gente,4887416,2017-08-19,global,global,4834711.0,2017.6300228310502
2261,2,Luis Fonsi,Despacito - Remix,3707543,2017-08-19,global,global,3694122.0,2017.6300228310502
2262,3,Justin Bieber,Friends (with BloodPop®),3643398,2017-08-19,global,global,4053188.0,2017.6300228310502
2263,4,French Montana,Unforgettable,3364400,2017-08-19,global,global,3462954.0,2017.6300228310502
2264,5,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3356187,2017-08-19,global,global,3441513.0,2017.6300228310502
2265,6,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3267151,2017-08-19,global,global,3336176.0,2017.6300228310502
2266,7,Dua Lipa,New Rules,2977198,2017-08-19,global,global,2978790.0,2017.6300228310502
2267,8,David Guetta,2U (feat. Justin Bieber),2802311,2017-08-19,global,global,2919139.0,2017.6300228310502
2268,9,Ed Sheeran,Shape of You,2765681,2017-08-19,global,global,2809309.0,2017.6300228310502
2269,10,Charlie Puth,Attention,2675351,2017-08-19,global,global,2796428.0,2017.6300228310502
2270,1,J Balvin,Mi Gente,4191601,2017-08-20,global,global,4887416.0,2017.6327625570775
2271,2,Luis Fonsi,Despacito - Remix,3207622,2017-08-20,global,global,3707543.0,2017.6327625570775
2272,3,Justin Bieber,Friends (with BloodPop®),3171328,2017-08-20,global,global,3643398.0,2017.6327625570775
2273,4,French Montana,Unforgettable,2992660,2017-08-20,global,global,3364400.0,2017.6327625570775
2274,5,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2878121,2017-08-20,global,global,3356187.0,2017.6327625570775
2275,6,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2823370,2017-08-20,global,global,3267151.0,2017.6327625570775
2276,7,Dua Lipa,New Rules,2679857,2017-08-20,global,global,2977198.0,2017.6327625570775
2277,8,Ed Sheeran,Shape of You,2443479,2017-08-20,global,global,2765681.0,2017.6327625570775
2278,9,David Guetta,2U (feat. Justin Bieber),2436143,2017-08-20,global,global,2802311.0,2017.6327625570775
2279,10,Charlie Puth,Attention,2402410,2017-08-20,global,global,2675351.0,2017.6327625570775
2280,1,J Balvin,Mi Gente,4303375,2017-08-21,global,global,4191601.0,2017.635502283105
2281,2,Justin Bieber,Friends (with BloodPop®),3450141,2017-08-21,global,global,3171328.0,2017.635502283105
2282,3,Luis Fonsi,Despacito - Remix,3179742,2017-08-21,global,global,3207622.0,2017.635502283105
2283,4,French Montana,Unforgettable,3167339,2017-08-21,global,global,2992660.0,2017.635502283105
2284,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3064823,2017-08-21,global,global,2823370.0,2017.635502283105
2285,6,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3017925,2017-08-21,global,global,2878121.0,2017.635502283105
2286,7,Dua Lipa,New Rules,2943179,2017-08-21,global,global,2679857.0,2017.635502283105
2287,8,David Guetta,2U (feat. Justin Bieber),2580982,2017-08-21,global,global,2436143.0,2017.635502283105
2288,9,Charlie Puth,Attention,2564317,2017-08-21,global,global,2402410.0,2017.635502283105
2289,10,Ed Sheeran,Shape of You,2530517,2017-08-21,global,global,2443479.0,2017.635502283105
2290,1,J Balvin,Mi Gente,4447134,2017-08-22,global,global,4303375.0,2017.6382420091325
2291,2,Justin Bieber,Friends (with BloodPop®),3613098,2017-08-22,global,global,3450141.0,2017.6382420091325
2292,3,French Montana,Unforgettable,3286004,2017-08-22,global,global,3167339.0,2017.6382420091325
2293,4,Luis Fonsi,Despacito - Remix,3245274,2017-08-22,global,global,3179742.0,2017.6382420091325
2294,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3157890,2017-08-22,global,global,3064823.0,2017.6382420091325
2295,6,Dua Lipa,New Rules,3116153,2017-08-22,global,global,2943179.0,2017.6382420091325
2296,7,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3104435,2017-08-22,global,global,3017925.0,2017.6382420091325
2297,8,David Guetta,2U (feat. Justin Bieber),2712466,2017-08-22,global,global,2580982.0,2017.6382420091325
2298,9,Charlie Puth,Attention,2674883,2017-08-22,global,global,2564317.0,2017.6382420091325
2299,10,Ed Sheeran,Shape of You,2601178,2017-08-22,global,global,2530517.0,2017.6382420091325
2300,1,J Balvin,Mi Gente,4507810,2017-08-23,global,global,4447134.0,2017.6409817351598
2301,2,Justin Bieber,Friends (with BloodPop®),3606266,2017-08-23,global,global,3613098.0,2017.6409817351598
2302,3,French Montana,Unforgettable,3302514,2017-08-23,global,global,3286004.0,2017.6409817351598
2303,4,Luis Fonsi,Despacito - Remix,3222089,2017-08-23,global,global,3245274.0,2017.6409817351598
2304,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3192790,2017-08-23,global,global,3157890.0,2017.6409817351598
2305,6,Dua Lipa,New Rules,3190255,2017-08-23,global,global,3116153.0,2017.6409817351598
2306,7,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3125608,2017-08-23,global,global,3104435.0,2017.6409817351598
2307,8,Charlie Puth,Attention,2707744,2017-08-23,global,global,2674883.0,2017.6409817351598
2308,9,David Guetta,2U (feat. Justin Bieber),2693269,2017-08-23,global,global,2712466.0,2017.6409817351598
2309,10,Ed Sheeran,Shape of You,2611610,2017-08-23,global,global,2601178.0,2017.6409817351598
2310,1,J Balvin,Mi Gente,4553070,2017-08-24,global,global,4507810.0,2017.6437214611872
2311,2,Justin Bieber,Friends (with BloodPop®),3633412,2017-08-24,global,global,3606266.0,2017.6437214611872
2312,3,French Montana,Unforgettable,3321975,2017-08-24,global,global,3302514.0,2017.6437214611872
2313,4,Dua Lipa,New Rules,3218287,2017-08-24,global,global,3190255.0,2017.6437214611872
2314,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3144976,2017-08-24,global,global,3192790.0,2017.6437214611872
2315,6,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3134788,2017-08-24,global,global,3125608.0,2017.6437214611872
2316,7,Luis Fonsi,Despacito - Remix,3126182,2017-08-24,global,global,3222089.0,2017.6437214611872
2317,8,Charlie Puth,Attention,2712880,2017-08-24,global,global,2707744.0,2017.6437214611872
2318,9,David Guetta,2U (feat. Justin Bieber),2646961,2017-08-24,global,global,2693269.0,2017.6437214611872
2319,10,Demi Lovato,Sorry Not Sorry,2636962,2017-08-24,global,global,2636962.0,2017.6437214611872
2320,1,Taylor Swift,Look What You Made Me Do,7908492,2017-08-25,global,global,7908492.0,2017.6464611872145
2321,2,J Balvin,Mi Gente,4891611,2017-08-25,global,global,4553070.0,2017.6464611872145
2322,3,Justin Bieber,Friends (with BloodPop®),3802580,2017-08-25,global,global,3633412.0,2017.6464611872145
2323,4,Dua Lipa,New Rules,3516436,2017-08-25,global,global,3218287.0,2017.6464611872145
2324,5,French Montana,Unforgettable,3465869,2017-08-25,global,global,3321975.0,2017.6464611872145
2325,6,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3342502,2017-08-25,global,global,3144976.0,2017.6464611872145
2326,7,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3333031,2017-08-25,global,global,3134788.0,2017.6464611872145
2327,8,Luis Fonsi,Despacito - Remix,3242226,2017-08-25,global,global,3126182.0,2017.6464611872145
2328,9,Demi Lovato,Sorry Not Sorry,2834881,2017-08-25,global,global,2636962.0,2017.6464611872145
2329,10,Lil Uzi Vert,XO Tour Llif3,2808282,2017-08-25,global,global,2808282.0,2017.6464611872145
2330,1,Taylor Swift,Look What You Made Me Do,5429680,2017-08-26,global,global,7908492.0,2017.649200913242
2331,2,J Balvin,Mi Gente,4967261,2017-08-26,global,global,4891611.0,2017.649200913242
2332,3,Justin Bieber,Friends (with BloodPop®),3547261,2017-08-26,global,global,3802580.0,2017.649200913242
2333,4,Dua Lipa,New Rules,3425110,2017-08-26,global,global,3516436.0,2017.649200913242
2334,5,French Montana,Unforgettable,3375578,2017-08-26,global,global,3465869.0,2017.649200913242
2335,6,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),3288684,2017-08-26,global,global,3333031.0,2017.649200913242
2336,7,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3262882,2017-08-26,global,global,3342502.0,2017.649200913242
2337,8,Luis Fonsi,Despacito - Remix,3229992,2017-08-26,global,global,3242226.0,2017.649200913242
2338,9,Demi Lovato,Sorry Not Sorry,2738556,2017-08-26,global,global,2834881.0,2017.649200913242
2339,10,Ed Sheeran,Shape of You,2706058,2017-08-26,global,global,2706058.0,2017.649200913242
2340,1,Taylor Swift,Look What You Made Me Do,4494438,2017-08-27,global,global,5429680.0,2017.6519406392695
2341,2,J Balvin,Mi Gente,4028849,2017-08-27,global,global,4967261.0,2017.6519406392695
2342,3,Justin Bieber,Friends (with BloodPop®),2986624,2017-08-27,global,global,3547261.0,2017.6519406392695
2343,4,Dua Lipa,New Rules,2935132,2017-08-27,global,global,3425110.0,2017.6519406392695
2344,5,French Montana,Unforgettable,2857972,2017-08-27,global,global,3375578.0,2017.6519406392695
2345,6,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2757698,2017-08-27,global,global,3262882.0,2017.6519406392695
2346,7,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2748252,2017-08-27,global,global,3288684.0,2017.6519406392695
2347,8,Luis Fonsi,Despacito - Remix,2691889,2017-08-27,global,global,3229992.0,2017.6519406392695
2348,9,Demi Lovato,Sorry Not Sorry,2353223,2017-08-27,global,global,2738556.0,2017.6519406392695
2349,10,Ed Sheeran,Shape of You,2327940,2017-08-27,global,global,2706058.0,2017.6519406392695
2350,1,Taylor Swift,Look What You Made Me Do,5489086,2017-08-28,global,global,4494438.0,2017.6546803652968
2351,2,J Balvin,Mi Gente,4240450,2017-08-28,global,global,4028849.0,2017.6546803652968
2352,3,Justin Bieber,Friends (with BloodPop®),3362772,2017-08-28,global,global,2986624.0,2017.6546803652968
2353,4,Dua Lipa,New Rules,3255609,2017-08-28,global,global,2935132.0,2017.6546803652968
2354,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3098841,2017-08-28,global,global,2757698.0,2017.6546803652968
2355,6,French Montana,Unforgettable,3084935,2017-08-28,global,global,2857972.0,2017.6546803652968
2356,7,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2990485,2017-08-28,global,global,2748252.0,2017.6546803652968
2357,8,Luis Fonsi,Despacito - Remix,2715471,2017-08-28,global,global,2691889.0,2017.6546803652968
2358,9,Demi Lovato,Sorry Not Sorry,2653298,2017-08-28,global,global,2353223.0,2017.6546803652968
2359,10,Ed Sheeran,Shape of You,2532493,2017-08-28,global,global,2327940.0,2017.6546803652968
2360,1,Taylor Swift,Look What You Made Me Do,5923188,2017-08-29,global,global,5489086.0,2017.6574200913242
2361,2,J Balvin,Mi Gente,4422980,2017-08-29,global,global,4240450.0,2017.6574200913242
2362,3,Justin Bieber,Friends (with BloodPop®),3533024,2017-08-29,global,global,3362772.0,2017.6574200913242
2363,4,Dua Lipa,New Rules,3435211,2017-08-29,global,global,3255609.0,2017.6574200913242
2364,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3190815,2017-08-29,global,global,3098841.0,2017.6574200913242
2365,6,French Montana,Unforgettable,3161934,2017-08-29,global,global,3084935.0,2017.6574200913242
2366,7,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2994646,2017-08-29,global,global,2990485.0,2017.6574200913242
2367,8,Demi Lovato,Sorry Not Sorry,2805849,2017-08-29,global,global,2653298.0,2017.6574200913242
2368,9,Luis Fonsi,Despacito - Remix,2739962,2017-08-29,global,global,2715471.0,2017.6574200913242
2369,10,Lil Uzi Vert,XO Tour Llif3,2606347,2017-08-29,global,global,2606347.0,2017.6574200913242
2370,1,Taylor Swift,Look What You Made Me Do,5903329,2017-08-30,global,global,5923188.0,2017.6601598173515
2371,2,J Balvin,Mi Gente,4412260,2017-08-30,global,global,4422980.0,2017.6601598173515
2372,3,Justin Bieber,Friends (with BloodPop®),3508039,2017-08-30,global,global,3533024.0,2017.6601598173515
2373,4,Dua Lipa,New Rules,3460920,2017-08-30,global,global,3435211.0,2017.6601598173515
2374,5,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3189004,2017-08-30,global,global,3190815.0,2017.6601598173515
2375,6,French Montana,Unforgettable,3137732,2017-08-30,global,global,3161934.0,2017.6601598173515
